Ref,Val,Package,PosX,PosY,Rot,Side
"Q30","2N7000","TO-92_Inline_Wide",85.800000,-25.525000,0.000000,top
"Q31","2N7000","TO-92_Inline_Wide",85.800000,-33.780000,0.000000,top
"Q32","2N7000","TO-92_Inline_Wide",85.800000,-38.860000,0.000000,top
"R1","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",9.000000,-16.000000,0.000000,top
"R2","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",9.000000,-31.240000,0.000000,top
"R3","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",16.680000,-16.000000,0.000000,top
"R4","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",16.680000,-31.240000,0.000000,top
"R5","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",24.360000,-16.000000,0.000000,top
"R6","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",24.360000,-31.240000,0.000000,top
"R7","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",32.040000,-16.000000,0.000000,top
"R8","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",32.040000,-31.240000,0.000000,top
"R9","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",39.720000,-16.000000,0.000000,top
"R10","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",39.720000,-31.240000,0.000000,top
"R11","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",47.400000,-16.000000,0.000000,top
"R12","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",47.400000,-31.240000,0.000000,top
"R13","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",55.080000,-16.000000,0.000000,top
"R14","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",55.080000,-31.240000,0.000000,top
"R15","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",62.760000,-16.000000,0.000000,top
"R16","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",62.760000,-31.240000,0.000000,top
"R17","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",70.440000,-16.000000,0.000000,top
"R18","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",70.440000,-29.335000,0.000000,top
"R19","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",70.440000,-42.670000,0.000000,top
"R20","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",78.120000,-16.000000,0.000000,top
"R21","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",78.120000,-29.335000,0.000000,top
"R22","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",78.120000,-42.670000,0.000000,top
"R23","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",85.800000,-16.000000,0.000000,top
"R24","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",85.800000,-29.335000,0.000000,top
"R25","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",9.000000,-49.020000,0.000000,top
"R26","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",9.000000,-54.100000,0.000000,top
"R27","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",16.680000,-49.020000,0.000000,top
"R28","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",16.680000,-54.100000,0.000000,top
"R29","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",24.360000,-49.020000,0.000000,top
"R30","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",24.360000,-54.100000,0.000000,top
"R31","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",32.040000,-49.020000,0.000000,top
"R32","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",32.040000,-54.100000,0.000000,top
"R33","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",39.720000,-49.020000,0.000000,top
"R34","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",39.720000,-54.100000,0.000000,top
"R35","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",47.400000,-49.020000,0.000000,top
"R36","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",47.400000,-54.100000,0.000000,top
"R37","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",80.590000,-64.000000,-90.000000,top
"R38","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",74.590000,-64.000000,-90.000000,top
"R39","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",68.590000,-64.000000,-90.000000,top
"R40","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",62.590000,-64.000000,-90.000000,top
"SW1","DATA (input port, read by IN)","SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm",84.590000,-64.000000,0.000000,top
