Ref,Val,Package,PosX,PosY,Rot,Side
"D667","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",182.390000,-137.760000,-90.000000,top
"D963","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",215.410000,-122.520000,-90.000000,top
"D986","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",217.950000,-122.520000,-90.000000,top
"D1009","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",220.490000,-122.520000,-90.000000,top
"D1032","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",223.030000,-122.520000,-90.000000,top
"D1036","LED","LED_D3.0mm",72.980000,-95.120000,90.000000,top
"D1037","LED","LED_D3.0mm",72.980000,-110.360000,90.000000,top
"D1038","LED","LED_D3.0mm",72.980000,-125.600000,90.000000,top
"D1039","LED","LED_D3.0mm",72.980000,-140.840000,90.000000,top
"D1040","LED","LED_D3.0mm",72.980000,-156.080000,90.000000,top
"D1041","LED","LED_D3.0mm",72.980000,-171.320000,90.000000,top
"D1042","LED","LED_D3.0mm",72.980000,-186.560000,90.000000,top
"D1043","LED","LED_D3.0mm",72.980000,-201.800000,90.000000,top
"D1044","LED","LED_D3.0mm",72.980000,-217.040000,90.000000,top
"D1045","LED","LED_D3.0mm",72.980000,-232.280000,90.000000,top
"D1046","LED","LED_D3.0mm",80.660000,-63.370000,90.000000,top
"D1047","LED","LED_D3.0mm",80.660000,-78.610000,90.000000,top
"D1048","LED","LED_D3.0mm",80.660000,-93.850000,90.000000,top
"D1049","LED","LED_D3.0mm",80.660000,-109.090000,90.000000,top
"D1050","LED","LED_D3.0mm",80.660000,-124.330000,90.000000,top
"D1051","LED","LED_D3.0mm",80.660000,-139.570000,90.000000,top
"D1052","LED","LED_D3.0mm",80.660000,-154.810000,90.000000,top
"D1053","LED","LED_D3.0mm",80.660000,-170.050000,90.000000,top
"D1054","LED","LED_D3.0mm",80.660000,-185.290000,90.000000,top
"J1","BUS","IDC-Header_2x32_P2.54mm_Vertical",10.630000,-7.500000,90.000000,top
"J2","LINK","IDC-Header_2x06_P2.54mm_Vertical",115.000000,-10.000000,90.000000,top
"Q1","2N7000","TO-92_Inline_Wide",83.200000,-197.990000,180.000000,top
"Q2","2N7000","TO-92_Inline_Wide",83.200000,-206.245000,180.000000,top
"Q3","2N7000","TO-92_Inline_Wide",83.200000,-214.500000,180.000000,top
"Q4","2N7000","TO-92_Inline_Wide",83.200000,-219.580000,180.000000,top
"Q5","2N7000","TO-92_Inline_Wide",83.200000,-227.835000,180.000000,top
"Q6","2N7000","TO-92_Inline_Wide",83.200000,-232.915000,180.000000,top
"Q7","2N7000","TO-92_Inline_Wide",226.880000,-170.080000,0.000000,top
"Q8","2N7000","TO-92_Inline_Wide",226.880000,-175.160000,0.000000,top
"Q9","2N7000","TO-92_Inline_Wide",226.880000,-183.415000,0.000000,top
"Q10","2N7000","TO-92_Inline_Wide",226.880000,-191.670000,0.000000,top
"Q11","2N7000","TO-92_Inline_Wide",226.880000,-196.750000,0.000000,top
"Q12","2N7000","TO-92_Inline_Wide",226.880000,-205.005000,0.000000,top
"Q13","2N7000","TO-92_Inline_Wide",226.880000,-210.085000,0.000000,top
"Q14","2N7000","TO-92_Inline_Wide",226.880000,-218.340000,0.000000,top
"Q15","2N7000","TO-92_Inline_Wide",226.880000,-223.420000,0.000000,top
"Q16","2N7000","TO-92_Inline_Wide",226.880000,-231.675000,0.000000,top
"Q17","2N7000","TO-92_Inline_Wide",226.880000,-236.755000,0.000000,top
"Q18","2N7000","TO-92_Inline_Wide",226.880000,-241.835000,0.000000,top
"Q19","2N7000","TO-92_Inline_Wide",9.000000,-20.445000,0.000000,top
