Ref,Val,Package,PosX,PosY,Rot,Side
"R10","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",16.680000,-24.255000,0.000000,top
"R11","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",24.360000,-24.255000,0.000000,top
"R12","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",9.000000,-32.510000,0.000000,top
"R13","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",16.680000,-32.510000,0.000000,top
"R14","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",24.360000,-32.510000,0.000000,top
"R15","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",9.000000,-40.765000,0.000000,top
"R16","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",16.680000,-40.765000,0.000000,top
"R17","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",24.360000,-40.765000,0.000000,top
"R18","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",9.000000,-49.020000,0.000000,top
"R19","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",16.680000,-49.020000,0.000000,top
"R20","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",24.360000,-49.020000,0.000000,top
"R21","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",9.000000,-57.275000,0.000000,top
"R22","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",16.680000,-57.275000,0.000000,top
"R23","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",24.360000,-57.275000,0.000000,top
"R24","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",9.000000,-65.530000,0.000000,top
"R25","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",16.680000,-65.530000,0.000000,top
"R26","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",24.360000,-70.610000,0.000000,top
"TP1","TP_RING","TestPoint_Loop_D2.50mm_Drill1.0mm",40.000000,-56.000000,0.000000,top
"TP2","TP_FO1","TestPoint_Loop_D2.50mm_Drill1.0mm",48.000000,-56.000000,0.000000,top
"TP3","TP_FO10","TestPoint_Loop_D2.50mm_Drill1.0mm",56.000000,-56.000000,0.000000,top
"TP4","TP_NAND","TestPoint_Loop_D2.50mm_Drill1.0mm",64.000000,-56.000000,0.000000,top
"TP5","TP_NOR","TestPoint_Loop_D2.50mm_Drill1.0mm",72.000000,-56.000000,0.000000,top
"TP6","TP_BUS","TestPoint_Loop_D2.50mm_Drill1.0mm",80.000000,-56.000000,0.000000,top
